Quarter,City,HPI@Assessment Prices,HPI_Lag1,Repo_Rate,Repo_Rate_Lag1,CPI_Inflation,M3_Growth,GDP_Growth
Dec-21,Bhopal,104,105,4,4,165.1333333,10.19666667,4.45
Mar-22,Bhopal,107,104,4,4,165.6666667,8.633333333,13.49
Jun-22,Bhopal,107.32,107,4.433333333,4,170.4666667,8.683333333,5.96
Sep-22,Bhopal,108.81,107.32,5.4,4.433333333,173.1666667,8.703333333,4.84
Dec-22,Bhopal,111.52,108.81,6.016666667,5.4,174.8,8.91,6.90
Mar-23,Bhopal,111.93,111.52,6.416666667,6.016666667,175.6,9.446666667,9.66
Jun-23,Bhopal,111.42,111.93,6.5,6.416666667,178.5,11.09333333,9.34
Sep-23,Bhopal,110.49,111.42,6.5,6.5,183.8,11.21,9.51
Dec-23,Bhopal,109.72,110.49,6.5,6.5,183.7333333,11.60333333,8.35
Mar-24,Bhopal,113.07,109.72,6.5,6.5,183.7,11.34333333,6.51
Jun-24,Bhopal,116.96,113.07,6.5,6.5,186.0666667,11.31666667,5.61
Sep-24,Bhopal,120.67,116.96,6.5,6.5,190.6666667,9.976666667,6.37
Dec-24,Bhopal,125.25,120.67,6.5,6.5,192.9666667,10.18666667,7.38
Mar-25,Bhopal,126.96,125.25,6.333333333,6.5,190.2,9.45,7.81
Jun-25,Bhopal,127.27,126.96,5.833333333,6.333333333,191.6666667,9.38,8.23
Sep-25,Bhopal,126.03,127.27,5.5,5.833333333,194.7333333,9.546666667,8.65
Jun--2013,Chennai,78,126.03,7.333333333,5.5,107.3333333,9.22,7.34
Sep--2013,Chennai,79,78,7.333333333,7.333333333,112.4333333,9.12,6.53
Dec--2013,Chennai,80,79,7.75,7.333333333,114.1,10.14666667,5.34
Mar--2014,Chennai,82,80,8,7.75,113.2333333,9.733333333,8.02
Jun--2014,Chennai,83,82,8,8,115.5666667,10.79333333,8.70
Sep--2014,Chennai,84,83,8,8,119.3333333,12.56333333,5.92
Dec--2014,Chennai,84,84,8,8,118.8333333,11.27,7.11
Mar--2015,Chennai,85,84,7.666666667,8,118.7666667,10.94,7.59
Jun--2015,Chennai,87,85,7.416666667,7.666666667,120.7,10.72,8.03
Sep--2015,Chennai,89,87,7.25,7.416666667,123.0333333,10.93666667,7.20
Dec--2015,Chennai,91,89,6.75,7.25,124.2666667,10.59,9.09
Mar--2016,Chennai,92,91,6.75,6.75,123.9333333,10.68,8.68
Jun--2016,Chennai,94,92,6.5,6.75,126.6666667,10.31666667,9.67
Sep--2016,Chennai,96,94,6.5,6.5,128.4666667,11.23333333,8.58
Dec--2016,Chennai,99,96,6.25,6.5,128.2333333,8.233333333,6.29
